user_id,gender_preference,budget_min,budget_max,location_preference,branch_preference,cleanliness_level,noise_tolerance,smoking_tolerance,pets_tolerance,party_tolerance
73,Female,20000,25000,Dadar,EXCS,1,2,True,True,True
74,Female,25000,25000,Wadala,EXCS,4,4,False,True,False
75,Female,10000,15000,Wadala,CMPN,4,3,True,False,True
76,Female,20000,20000,Dadar,EXCS,2,1,False,True,True
77,Female,20000,25000,Matunga,CMPN,5,2,True,False,True
78,Any,5000,25000,Chembur,INFT,3,4,False,False,True
79,Any,10000,20000,Dadar,BIOMED,2,4,False,False,True
80,Female,5000,20000,Chembur,EXTC,1,4,False,True,True
81,Any,5000,5000,Matunga,CMPN,3,2,False,False,True
82,Male,5000,10000,Chunabhatti,BIOMED,2,5,False,False,False
83,Female,20000,20000,Chunabhatti,EXCS,1,2,True,True,True
84,Male,10000,10000,Matunga,EXTC,2,1,False,False,False
85,Male,5000,15000,Chembur,CMPN,1,2,False,False,True
86,Female,5000,15000,Dadar,EXCS,1,4,True,False,True
87,Any,15000,20000,Matunga,BIOMED,4,5,False,False,True
88,Male,20000,25000,Matunga,INFT,1,5,False,False,True
89,Female,5000,25000,Chunabhatti,BIOMED,2,1,True,False,True
90,Male,10000,15000,Dadar,CMPN,3,1,False,False,True
91,Male,15000,25000,Chunabhatti,INFT,4,3,False,False,True
92,Male,15000,15000,Chembur,INFT,3,3,True,False,True
93,Male,25000,25000,Chembur,EXCS,5,3,False,True,False
94,Any,5000,25000,Wadala,BIOMED,3,2,False,True,True
95,Male,5000,5000,Matunga,CMPN,5,5,True,False,False
96,Male,10000,15000,Dadar,INFT,5,1,False,True,False
97,Male,10000,25000,Dadar,EXCS,4,3,True,True,False
98,Any,5000,25000,Chunabhatti,INFT,3,1,True,True,False
99,Male,5000,20000,Chunabhatti,BIOMED,1,3,False,True,False
100,Male,10000,25000,Dadar,EXTC,4,2,True,True,False
101,Any,10000,20000,Chunabhatti,CMPN,4,2,True,False,False
102,Any,5000,20000,Wadala,EXTC,1,4,False,False,False
103,Any,10000,15000,Matunga,BIOMED,3,1,True,False,True
104,Male,15000,25000,Wadala,EXTC,4,4,True,True,True
105,Any,5000,5000,Chembur,BIOMED,5,2,False,True,False
106,Any,10000,15000,Dadar,BIOMED,1,2,False,True,True
107,Male,5000,20000,Wadala,EXCS,2,1,False,True,False
108,Any,25000,25000,Wadala,EXTC,4,4,True,True,False
109,Male,20000,20000,Chunabhatti,INFT,5,4,False,False,True
110,Female,20000,25000,Chunabhatti,BIOMED,3,4,False,False,True
111,Any,5000,15000,Chunabhatti,EXTC,3,1,False,True,True
112,Female,20000,25000,Chembur,INFT,1,1,True,True,True
113,Male,10000,25000,Wadala,CMPN,5,1,False,True,False
114,Any,15000,25000,Matunga,INFT,1,5,True,True,True
115,Male,5000,15000,Chunabhatti,EXTC,4,2,True,True,True
116,Female,10000,10000,Chembur,EXTC,1,5,True,True,True
117,Male,5000,5000,Chembur,INFT,2,5,True,False,False
118,Any,10000,25000,Chunabhatti,INFT,1,2,False,False,True
119,Any,15000,15000,Dadar,BIOMED,1,3,True,False,True
120,Female,5000,5000,Wadala,EXTC,4,3,False,False,False
121,Male,15000,20000,Chunabhatti,BIOMED,5,3,False,False,False
122,Any,15000,20000,Matunga,BIOMED,2,1,False,True,False
123,Female,5000,10000,Wadala,CMPN,1,1,True,False,False
124,Any,25000,25000,Chembur,EXTC,4,4,False,True,True
125,Any,5000,10000,Matunga,BIOMED,4,4,False,False,True
126,Male,5000,10000,Wadala,CMPN,4,5,False,False,True
127,Any,10000,25000,Matunga,BIOMED,5,4,False,False,True
128,Male,25000,25000,Chembur,BIOMED,1,1,True,True,False
129,Any,5000,20000,Chunabhatti,EXTC,3,5,False,True,True
130,Female,15000,20000,Matunga,INFT,2,4,True,False,True
131,Any,15000,15000,Chunabhatti,INFT,3,4,True,False,False
132,Male,5000,10000,Chembur,EXTC,5,3,False,False,False
133,Male,20000,25000,Chembur,INFT,1,1,True,False,False
134,Female,5000,25000,Matunga,EXCS,3,5,False,True,True
135,Any,10000,20000,Matunga,INFT,3,2,False,True,False
136,Any,5000,20000,Chembur,BIOMED,3,4,True,True,True
137,Female,10000,20000,Matunga,BIOMED,2,1,False,False,False
138,Any,5000,15000,Matunga,CMPN,1,5,False,False,False
139,Any,15000,20000,Matunga,EXTC,4,1,False,True,False
140,Male,5000,20000,Matunga,CMPN,1,1,True,False,True
141,Any,10000,20000,Wadala,BIOMED,3,5,False,True,False
142,Any,5000,5000,Chembur,BIOMED,1,3,False,True,False
143,Female,20000,20000,Chembur,CMPN,4,3,True,True,True
144,Female,20000,25000,Dadar,EXCS,2,4,True,True,True
145,Male,5000,25000,Chunabhatti,INFT,1,3,False,False,False
146,Any,5000,5000,Dadar,EXCS,1,4,False,True,True
147,Any,15000,20000,Matunga,EXCS,2,4,False,True,True
148,Any,20000,20000,Matunga,EXCS,2,5,False,False,True
149,Male,10000,25000,Wadala,EXCS,3,1,False,False,True
150,Male,10000,10000,Wadala,INFT,3,2,False,True,False
151,Female,5000,5000,Wadala,EXTC,2,2,True,True,True
152,Male,25000,25000,Wadala,CMPN,4,3,True,False,True
153,Any,5000,10000,Wadala,EXCS,3,5,False,False,False
154,Any,5000,20000,Wadala,EXCS,4,2,True,False,False
155,Male,10000,20000,Wadala,CMPN,2,1,True,False,False
156,Any,10000,25000,Wadala,CMPN,1,4,True,True,True
157,Any,10000,25000,Wadala,EXTC,2,4,False,False,False
158,Male,20000,20000,Chembur,BIOMED,2,5,True,False,True
159,Male,25000,25000,Wadala,EXTC,5,3,True,True,False
160,Any,20000,20000,Chunabhatti,BIOMED,2,1,True,False,True
161,Any,15000,20000,Wadala,INFT,3,3,False,True,True
162,Any,10000,20000,Matunga,EXTC,1,3,True,False,True
163,Female,15000,15000,Matunga,INFT,4,5,False,False,False
164,Female,10000,15000,Wadala,CMPN,5,4,False,True,False
165,Female,10000,25000,Wadala,EXTC,3,3,True,True,False
166,Male,15000,25000,Matunga,CMPN,1,3,True,True,True
167,Female,5000,10000,Chunabhatti,EXCS,4,1,False,True,False
168,Male,10000,20000,Dadar,CMPN,1,4,True,False,True
169,Male,10000,25000,Chembur,EXCS,3,3,False,True,True
170,Female,10000,10000,Matunga,BIOMED,1,2,False,True,True
171,Female,5000,5000,Wadala,EXCS,2,2,False,True,False
172,Female,25000,25000,Chembur,BIOMED,1,4,False,False,True
173,Any,5000,25000,Wadala,EXCS,2,4,True,True,False
174,Female,20000,25000,Dadar,EXCS,3,5,False,False,True
175,Any,15000,20000,Dadar,INFT,5,3,False,True,True
176,Male,15000,25000,Matunga,INFT,2,2,False,True,False
177,Any,15000,20000,Chembur,CMPN,1,2,False,False,True
178,Female,10000,15000,Chembur,INFT,1,4,False,False,True
179,Male,5000,5000,Dadar,BIOMED,1,4,False,False,True
180,Male,10000,15000,Wadala,INFT,3,1,True,True,True
181,Male,10000,20000,Matunga,CMPN,4,1,True,True,False
182,Any,5000,25000,Chunabhatti,EXTC,1,4,False,True,False
183,Female,5000,10000,Dadar,BIOMED,1,1,True,False,True
184,Male,15000,25000,Dadar,EXTC,2,4,False,False,False
185,Male,10000,25000,Matunga,BIOMED,5,4,True,True,False
186,Male,5000,20000,Wadala,CMPN,1,5,False,False,False
187,Any,5000,25000,Chembur,INFT,3,1,False,False,True
188,Any,5000,25000,Dadar,EXTC,4,3,False,True,False
189,Female,5000,20000,Matunga,EXTC,4,3,True,True,False
190,Any,5000,25000,Matunga,INFT,4,5,True,True,False
191,Male,5000,15000,Matunga,CMPN,3,3,True,True,True
192,Female,20000,25000,Chembur,INFT,4,3,True,True,True
193,Male,25000,25000,Dadar,EXCS,4,5,False,True,False
194,Male,15000,25000,Matunga,EXCS,2,2,False,True,False
195,Any,5000,10000,Chembur,EXCS,4,5,True,True,True
196,Female,5000,10000,Wadala,EXTC,2,5,False,True,True
197,Any,10000,15000,Chunabhatti,EXTC,2,1,True,True,False
198,Any,20000,25000,Dadar,CMPN,2,3,False,False,True
199,Female,10000,15000,Chembur,BIOMED,3,3,False,True,False
200,Male,5000,20000,Chunabhatti,INFT,1,2,True,True,True
201,Male,10000,15000,Chunabhatti,BIOMED,5,5,True,True,True
202,Female,15000,20000,Chembur,EXTC,4,4,False,False,False
203,Male,5000,25000,Chembur,INFT,5,2,True,False,True
204,Female,15000,25000,Chembur,EXTC,1,2,False,True,True
205,Female,5000,10000,Matunga,CMPN,2,3,False,True,True
206,Any,5000,5000,Wadala,INFT,2,3,False,True,True
207,Female,10000,20000,Matunga,EXTC,2,3,False,False,True
208,Any,15000,25000,Chunabhatti,EXCS,2,3,False,False,True
209,Male,5000,25000,Chunabhatti,EXCS,4,2,False,True,True
210,Male,15000,15000,Chunabhatti,EXTC,1,5,False,True,True
211,Male,10000,25000,Chembur,BIOMED,1,3,False,True,False
212,Male,20000,25000,Dadar,CMPN,1,1,True,False,True
213,Any,5000,20000,Matunga,CMPN,5,2,False,False,True
214,Male,10000,15000,Dadar,EXTC,2,4,False,False,False
215,Female,20000,20000,Wadala,CMPN,3,4,False,True,False
216,Female,5000,5000,Wadala,INFT,1,5,True,False,False
217,Female,5000,10000,Matunga,CMPN,5,2,False,True,True
218,Any,5000,25000,Chunabhatti,EXCS,4,2,True,False,True
219,Male,5000,25000,Wadala,EXTC,2,2,True,True,True
220,Male,20000,20000,Dadar,INFT,5,1,True,True,False
221,Male,20000,20000,Dadar,CMPN,3,1,False,True,True
222,Any,5000,10000,Chembur,EXCS,3,3,False,True,False
223,Female,5000,10000,Chunabhatti,BIOMED,4,4,False,False,True
224,Female,10000,15000,Chembur,CMPN,1,1,False,True,True
225,Male,5000,20000,Matunga,EXCS,1,4,True,False,False
226,Female,20000,20000,Wadala,EXCS,5,2,False,False,True
227,Female,10000,15000,Chembur,EXCS,5,1,True,False,False
228,Any,10000,20000,Chembur,EXCS,1,4,True,False,False
229,Any,5000,15000,Matunga,BIOMED,1,1,False,True,True
230,Any,10000,25000,Dadar,EXTC,5,2,False,True,False
231,Any,10000,20000,Dadar,EXCS,2,2,True,False,False
232,Male,10000,20000,Matunga,EXTC,3,2,True,True,True
233,Any,5000,10000,Dadar,BIOMED,3,3,False,True,False
234,Female,10000,15000,Matunga,BIOMED,4,4,False,True,False
235,Male,20000,20000,Dadar,INFT,3,3,False,False,True
236,Female,5000,10000,Matunga,INFT,5,5,True,False,True
237,Female,10000,25000,Dadar,EXCS,2,5,True,True,False
238,Female,10000,10000,Chembur,EXTC,5,1,True,True,True
239,Any,25000,25000,Chembur,BIOMED,1,1,True,True,False
240,Any,25000,25000,Dadar,CMPN,1,1,False,False,True
241,Male,20000,20000,Matunga,INFT,3,3,False,False,False
242,Male,10000,20000,Chembur,INFT,2,2,False,False,True
243,Any,20000,25000,Wadala,CMPN,4,1,False,False,True
244,Female,10000,25000,Dadar,EXTC,5,1,False,True,False
245,Male,15000,20000,Wadala,EXTC,4,5,False,False,False
246,Any,5000,15000,Wadala,EXTC,4,2,True,True,False
247,Any,15000,15000,Chunabhatti,EXCS,4,3,False,False,False
248,Any,10000,25000,Wadala,EXCS,4,2,True,False,False
249,Female,10000,15000,Wadala,CMPN,5,5,False,True,True
250,Any,5000,20000,Chunabhatti,BIOMED,1,3,False,True,False
251,Any,20000,20000,Chunabhatti,CMPN,5,4,False,False,False
252,Any,25000,25000,Chunabhatti,BIOMED,1,1,True,False,True
253,Any,10000,20000,Matunga,CMPN,1,3,True,True,True
254,Male,5000,20000,Chunabhatti,EXCS,5,5,True,False,False
255,Male,10000,10000,Matunga,EXTC,5,2,False,False,False
256,Any,10000,10000,Dadar,INFT,5,3,True,False,False
257,Female,10000,25000,Matunga,CMPN,1,5,False,True,False
258,Male,10000,10000,Dadar,CMPN,5,3,False,False,False
259,Any,5000,20000,Chunabhatti,INFT,2,1,False,True,False
260,Male,5000,15000,Chunabhatti,CMPN,3,2,True,False,False
261,Male,10000,25000,Dadar,EXTC,3,2,True,False,False
262,Female,5000,20000,Chembur,INFT,2,3,True,False,True
263,Any,20000,25000,Matunga,INFT,3,5,False,True,True
264,Any,25000,25000,Wadala,EXTC,1,1,True,True,False
265,Female,5000,20000,Chunabhatti,EXTC,5,1,False,True,False
266,Female,10000,25000,Matunga,INFT,5,3,False,True,True
267,Any,5000,20000,Matunga,EXTC,5,4,True,False,True
268,Any,15000,25000,Chunabhatti,EXTC,2,3,False,True,False
269,Female,20000,25000,Dadar,EXTC,2,1,False,False,False
270,Male,15000,25000,Chunabhatti,INFT,1,2,False,True,True
271,Male,5000,25000,Matunga,CMPN,2,3,True,False,True
272,Female,10000,25000,Chembur,BIOMED,5,3,False,False,False
273,Male,15000,20000,Dadar,INFT,1,2,False,False,True
274,Female,5000,15000,Chunabhatti,BIOMED,1,3,True,True,True
275,Male,15000,25000,Wadala,EXTC,5,5,True,False,True
276,Male,5000,10000,Chunabhatti,EXTC,4,2,False,True,True
277,Any,5000,10000,Matunga,CMPN,5,2,True,True,False
278,Any,10000,15000,Matunga,EXTC,1,2,True,False,False
279,Male,10000,25000,Wadala,BIOMED,4,1,False,True,True
280,Male,10000,15000,Dadar,INFT,5,3,False,True,False
281,Any,5000,10000,Matunga,INFT,5,4,False,False,True
282,Any,20000,20000,Dadar,CMPN,4,3,True,True,False
283,Any,25000,25000,Dadar,BIOMED,4,3,True,True,False
284,Female,5000,25000,Chunabhatti,EXTC,3,1,False,True,False
285,Male,10000,15000,Dadar,EXCS,4,5,False,False,True
286,Any,10000,20000,Matunga,CMPN,2,5,True,True,True
287,Male,5000,20000,Matunga,CMPN,4,1,False,False,True
288,Female,15000,20000,Chembur,EXCS,1,1,False,False,False
289,Female,5000,25000,Dadar,INFT,4,1,True,True,False
290,Any,15000,20000,Chembur,INFT,5,3,True,False,False
291,Female,5000,5000,Chunabhatti,INFT,2,1,False,False,False
292,Male,5000,25000,Chembur,EXCS,4,4,False,True,False
293,Any,25000,25000,Dadar,EXTC,2,2,False,True,False
294,Male,10000,25000,Matunga,EXTC,3,5,True,True,True
295,Male,10000,15000,Chunabhatti,BIOMED,2,4,False,False,False
296,Female,5000,25000,Dadar,BIOMED,5,5,False,True,False
297,Female,10000,20000,Chunabhatti,INFT,3,3,True,True,True
298,Female,10000,20000,Wadala,EXCS,4,3,True,False,True
299,Female,5000,20000,Dadar,CMPN,2,1,True,True,False
300,Female,20000,25000,Wadala,EXTC,3,5,True,True,False
301,Any,5000,25000,Chembur,EXCS,4,3,True,True,True
302,Male,5000,25000,Dadar,BIOMED,4,3,False,False,True
303,Male,5000,25000,Wadala,EXTC,2,5,True,True,True
304,Male,10000,15000,Matunga,EXTC,2,3,False,False,True
305,Male,20000,20000,Chembur,EXCS,3,1,True,False,False
306,Female,10000,15000,Dadar,BIOMED,2,3,False,True,True
307,Male,10000,20000,Dadar,EXCS,4,4,True,True,False
308,Any,15000,20000,Matunga,CMPN,5,4,True,True,False
309,Any,15000,20000,Matunga,EXTC,3,1,True,True,False
310,Male,20000,25000,Wadala,EXCS,5,4,False,False,True
311,Male,5000,5000,Wadala,EXCS,5,3,False,True,False
312,Any,15000,25000,Wadala,CMPN,4,4,True,False,True
313,Any,10000,25000,Chunabhatti,EXCS,5,4,False,True,False
314,Female,15000,15000,Chembur,EXTC,1,3,False,True,True
315,Any,25000,25000,Dadar,INFT,3,5,False,False,True
316,Female,5000,5000,Chembur,INFT,4,1,True,False,False
317,Female,15000,15000,Matunga,BIOMED,2,5,True,False,False
318,Female,10000,25000,Chembur,CMPN,4,5,True,True,True
319,Female,10000,25000,Chembur,BIOMED,2,4,False,True,False
320,Female,20000,20000,Wadala,INFT,4,2,False,True,True
321,Male,5000,10000,Matunga,CMPN,1,5,False,False,False
322,Any,5000,5000,Chembur,EXCS,3,3,True,False,True
323,Female,10000,25000,Dadar,EXCS,5,3,True,False,False
324,Any,10000,10000,Wadala,EXTC,4,3,False,False,True
325,Any,10000,20000,Chembur,INFT,3,2,True,True,False
326,Female,10000,10000,Matunga,EXCS,3,2,False,False,True
327,Male,5000,10000,Dadar,CMPN,3,1,True,True,True
328,Female,25000,25000,Matunga,EXCS,3,2,False,False,True
329,Male,15000,20000,Matunga,BIOMED,3,1,True,True,False
330,Any,20000,25000,Matunga,BIOMED,5,3,False,True,False
331,Male,15000,25000,Chunabhatti,BIOMED,5,2,True,True,True
332,Male,5000,15000,Dadar,BIOMED,4,4,False,True,False
333,Male,20000,25000,Matunga,BIOMED,2,4,True,True,False
334,Any,5000,15000,Chunabhatti,EXTC,4,4,False,True,False
335,Any,20000,20000,Wadala,BIOMED,3,2,False,True,True
336,Male,5000,5000,Chunabhatti,EXTC,2,2,False,False,True
337,Male,15000,20000,Wadala,EXTC,4,2,True,False,True
338,Female,5000,5000,Chunabhatti,EXCS,2,4,True,False,False
339,Male,15000,25000,Matunga,CMPN,5,3,True,False,False
340,Female,20000,25000,Chunabhatti,BIOMED,3,5,False,False,False
341,Male,5000,25000,Chunabhatti,CMPN,2,3,False,False,False
342,Female,5000,15000,Matunga,INFT,1,2,True,True,True
343,Any,5000,20000,Wadala,EXTC,3,5,False,True,False
344,Male,15000,15000,Matunga,INFT,5,5,True,True,False
345,Male,20000,25000,Dadar,EXTC,5,3,False,True,True
346,Male,15000,15000,Chunabhatti,BIOMED,4,4,False,False,False
347,Male,5000,20000,Dadar,INFT,1,1,True,False,False
348,Female,5000,20000,Matunga,EXCS,2,4,False,True,False
349,Male,15000,25000,Matunga,INFT,4,4,False,False,True
350,Any,15000,20000,Chembur,EXTC,5,5,False,False,False
351,Any,15000,20000,Dadar,EXTC,2,2,False,False,True
352,Male,10000,15000,Chembur,CMPN,5,2,False,True,False
353,Any,20000,25000,Dadar,INFT,5,5,False,True,True
354,Male,10000,20000,Chembur,EXCS,1,4,False,False,True
355,Male,10000,20000,Chembur,BIOMED,3,3,True,False,True
356,Any,20000,20000,Dadar,CMPN,2,1,True,False,True
357,Male,20000,25000,Matunga,INFT,1,4,False,True,False
358,Any,15000,25000,Wadala,CMPN,5,4,False,False,True
359,Female,20000,25000,Matunga,INFT,5,1,False,False,False
360,Male,20000,25000,Wadala,BIOMED,1,3,False,True,True
361,Female,5000,15000,Dadar,BIOMED,2,1,True,False,True
362,Any,15000,20000,Chunabhatti,EXCS,5,5,False,True,True
363,Female,15000,20000,Matunga,CMPN,2,1,True,True,False
364,Female,5000,15000,Chembur,EXCS,1,1,True,True,True
365,Any,5000,25000,Matunga,INFT,5,4,False,False,True
366,Female,5000,10000,Dadar,BIOMED,4,4,True,False,True
367,Female,10000,25000,Chunabhatti,BIOMED,4,2,False,False,False
368,Any,5000,25000,Chunabhatti,EXTC,5,1,True,True,False
369,Female,5000,20000,Matunga,EXTC,3,5,True,False,True
370,Any,10000,15000,Matunga,EXCS,5,2,False,False,True
371,Female,15000,15000,Matunga,CMPN,5,1,True,True,False
372,Any,15000,20000,Dadar,INFT,5,4,True,True,True
373,Any,5000,15000,Wadala,EXCS,1,5,False,False,True
374,Female,20000,25000,Wadala,BIOMED,5,3,True,True,False
375,Female,20000,25000,Chembur,BIOMED,5,2,True,False,True
376,Female,5000,10000,Dadar,BIOMED,1,4,False,False,False
377,Male,15000,20000,Chunabhatti,INFT,5,3,True,False,True
378,Male,5000,25000,Chembur,EXCS,4,1,False,True,False
379,Male,10000,15000,Chunabhatti,INFT,4,5,False,False,False
380,Any,5000,10000,Chunabhatti,BIOMED,5,4,False,True,True
381,Female,5000,25000,Matunga,EXTC,1,4,True,False,True
382,Any,5000,10000,Chunabhatti,EXCS,5,5,False,True,True
383,Male,5000,25000,Chunabhatti,EXTC,5,4,True,True,False
384,Female,5000,5000,Dadar,EXCS,2,4,True,False,True
385,Any,10000,25000,Matunga,BIOMED,3,1,True,False,False
386,Female,10000,20000,Matunga,EXTC,1,2,False,True,False
387,Any,5000,10000,Chembur,EXTC,3,3,False,True,True
388,Female,5000,20000,Matunga,EXCS,2,5,True,False,True
389,Male,5000,25000,Wadala,EXTC,3,3,False,True,True
390,Male,10000,15000,Dadar,EXTC,5,5,False,False,True
391,Female,10000,20000,Chembur,BIOMED,4,5,True,False,True
392,Any,5000,10000,Wadala,EXCS,1,4,False,False,True
393,Male,15000,15000,Chunabhatti,EXCS,1,1,False,False,True
394,Male,20000,25000,Wadala,CMPN,5,5,True,False,True
395,Male,5000,15000,Chembur,EXCS,3,3,True,True,False
396,Female,25000,25000,Matunga,BIOMED,1,2,True,True,False
397,Female,20000,25000,Dadar,EXTC,2,3,False,True,False
398,Any,15000,20000,Chembur,CMPN,2,1,False,False,True
399,Any,15000,15000,Wadala,EXTC,3,2,True,False,False
400,Any,15000,25000,Wadala,EXCS,2,4,False,True,False
401,Female,5000,20000,Chembur,INFT,4,3,False,True,True
402,Female,10000,15000,Chembur,EXTC,5,3,False,False,False
403,Any,5000,5000,Chembur,EXCS,1,5,False,True,False
404,Any,15000,15000,Matunga,BIOMED,5,5,False,True,False
405,Female,5000,5000,Chembur,EXCS,3,2,False,True,True
406,Any,5000,15000,Chunabhatti,CMPN,5,4,True,False,True
407,Male,5000,20000,Dadar,INFT,1,5,True,True,True
408,Female,10000,15000,Dadar,INFT,1,3,True,False,True
409,Any,15000,20000,Chunabhatti,INFT,3,2,False,False,False
410,Female,5000,10000,Wadala,BIOMED,1,5,False,True,False
411,Male,15000,25000,Wadala,INFT,2,5,True,True,False
412,Female,15000,20000,Wadala,EXTC,5,1,False,True,False
413,Female,5000,10000,Wadala,BIOMED,4,2,False,True,True
414,Female,5000,10000,Matunga,EXCS,4,2,False,True,False
415,Female,20000,25000,Chunabhatti,CMPN,4,4,False,True,False
416,Male,15000,15000,Dadar,BIOMED,3,5,True,False,True
417,Female,15000,25000,Chunabhatti,CMPN,4,2,False,False,False
418,Female,5000,25000,Dadar,BIOMED,5,4,False,True,False
419,Any,5000,20000,Wadala,EXCS,1,5,False,True,True
420,Female,5000,10000,Matunga,CMPN,2,3,False,False,True
421,Any,5000,15000,Chembur,BIOMED,4,1,False,True,True
422,Male,10000,20000,Chembur,CMPN,4,4,True,True,True
423,Male,15000,20000,Wadala,INFT,4,1,False,True,True
424,Male,5000,20000,Wadala,INFT,2,3,True,False,False
425,Male,5000,15000,Chunabhatti,INFT,5,2,True,True,False
426,Any,5000,20000,Matunga,EXTC,4,5,False,False,True
427,Female,10000,25000,Matunga,INFT,1,2,False,False,True
428,Male,5000,15000,Chunabhatti,INFT,3,1,False,False,True
429,Female,15000,25000,Matunga,EXCS,2,2,True,True,True
430,Any,20000,25000,Matunga,CMPN,5,2,False,True,True
431,Any,5000,10000,Chembur,CMPN,1,4,True,True,True
432,Any,20000,25000,Matunga,INFT,2,4,True,True,True
433,Male,15000,20000,Wadala,CMPN,2,3,False,False,False
434,Female,15000,25000,Chembur,BIOMED,3,4,False,True,False
435,Female,5000,10000,Wadala,INFT,3,4,False,True,False
436,Female,5000,15000,Wadala,INFT,5,4,False,True,False
437,Any,10000,20000,Chunabhatti,EXTC,4,4,True,True,True
438,Male,5000,10000,Matunga,BIOMED,3,3,True,False,False
